customer_id,signup_date,marketing_spend,visits,purchase_amount,segment,notes
32592582_c0001,16/04/2025,182.13,4,142.66,Consumer,returned
32592582_c0002,2025-06-02,6.66,6,37.94,SMB,
32592582_c0003,2024-12-18,8.44,2,13.18,Consumer,N/A
32592582_c0004,"Jan 15, 2026",165.83,4,182.01,Consumer,
32592582_c0005,2025-08-02,262.46,9,343.11,SMB,
32592582_c0006,2024-12-24,180.34,8,161.66,Consumer,
32592582_c0007,2026-01-20,222.48,6,138.17,Consumer,
32592582_c0008,"Oct 17, 2025",212.93,5,211.11,Consumer,
32592582_c0009,2025-05-03,119.39,10,98.59,SMB,N/A
32592582_c0010,2025-03-13,14.87,4,98.85,Consumer,
32592582_c0011,2026-01-22,168.91,5,,Consumer,
32592582_c0012,2024-10-20,81.7,1,150.85,SMB,
32592582_c0013,2025-11-29,49.93,3,18.92,Consumer,
32592582_c0014,2025-10-29,89.5,5,150.86,Consumer,
32592582_c0015,2025-12-07,132.3,3,183.7,SMB,contacted
32592582_c0016,N/A,170.46,3,220.29,Consumer,
32592582_c0017,2025-11-25,230.31,5,239.04,Consumer,
32592582_c0018,"Sep 29, 2025",117.15,8,118.97,Consumer,
32592582_c0019,2025-07-08,141.3,7,,SMB,no response
32592582_c0020,"Sep 28, 2024",176.55,2,146.44,Consumer,
32592582_c0021,2025-09-21,89.19,6,67.83,SMB,
32592582_c0022,,256.42,8,,Consumer,
32592582_c0023,2025-01-26,284.43,7,351.87,Consumer,
32592582_c0024,2024-10-05,130.52,3,116.61,Consumer,
32592582_c0025,2024-11-16,10.65,1,98.77,Consumer,
32592582_c0026,2025-06-11,283.23,4,297.75,Enterprise,returned
32592582_c0027,2025-05-20,293.18,10,208.61,Consumer,
32592582_c0028,N/A,62.67,1,36.63,SMB,N/A
32592582_c0029,2025-08-05,142.42,4,177.85,SMB,
32592582_c0030,2024-11-26,201.1,4,151.82,Consumer,
32592582_c0031,2024-10-15,105.94,5,167.99,Enterprise,
32592582_c0032,2025-03-13,171.72,4,181.58,Consumer,
32592582_c0033,2025-07-20,291.25,8,,Consumer,
32592582_c0034,"Jan 26, 2026",54.98,3,0,Enterprise,no response
32592582_c0035,2024-10-09,188,4,,Consumer,returned
32592582_c0036,2025-11-12,106.41,8,147.95,Consumer,
32592582_c0037,30/04/2025,275.04,10,217.64,Enterprise,
32592582_c0038,2025-03-22,174.09,3,230.4,Consumer,contacted
32592582_c0039,,155.53,5,60.6,Consumer,
32592582_c0040,2025-02-03,144.65,3,155.85,Consumer,
32592582_c0041,2025-06-28,286.43,7,254.67,SMB,contacted
32592582_c0042,2025-02-05,222.52,9,207.89,Consumer,
32592582_c0043,04/01/2025,35.13,2,107.57,SMB,
32592582_c0044,2024-12-06,73.32,4,132.35,Consumer,
32592582_c0045,2025-06-12,231.77,11,171.81,Consumer,N/A
32592582_c0046,2025-01-02,235.34,9,201.67,SMB,
32592582_c0047,2025-03-18,84.76,4,48.03,SMB,contacted
32592582_c0048,29/11/2024,132.26,9,131.67,Consumer,returned
32592582_c0049,"Oct 29, 2024",134.4,5,124.61,Enterprise,N/A
32592582_c0050,2024-10-01,282.01,8,197.33,SMB,
32592582_c0051,2025-05-30,276.11,12,228.18,Consumer,returned
32592582_c0052,2025-11-02,114.33,4,,SMB,
32592582_c0053,2025-03-17,188.81,4,171.58,Consumer,no response
32592582_c0054,2025-01-16,17.39,4,0,SMB,N/A
32592582_c0055,2024-11-29,233.78,6,179.95,Enterprise,returned
32592582_c0056,2025-06-07,141.86,7,114.83,SMB,
32592582_c0057,2025-08-26,179.33,5,116.41,Consumer,N/A
32592582_c0058,2025-02-18,139.44,4,173.66,SMB,
32592582_c0059,,205.55,5,207,Consumer,
32592582_c0060,22/02/2025,234.22,9,217.61,SMB,
32592582_c0061,2025-07-23,82.13,8,55.89,Consumer,
32592582_c0062,"Dec 29, 2025",136.19,7,,Consumer,no response
32592582_c0063,2024-10-30,227.81,7,259.16,Enterprise,
32592582_c0064,2024-12-15,181.88,4,186.68,Consumer,
32592582_c0065,2025-09-16,142.58,9,50.08,Consumer,
32592582_c0066,2025-03-19,8.67,4,67.43,Consumer,
32592582_c0067,2024-12-03,295.16,7,261.78,Enterprise,contacted
32592582_c0068,"Nov 10, 2025",193.06,7,135.86,Consumer,
32592582_c0069,2024-10-27,30.76,3,30.04,Enterprise,
32592582_c0070,2025-04-20,63.49,3,144.06,SMB,
32592582_c0071,2025-03-19,96.77,5,124.85,SMB,returned
32592582_c0072,25/10/2024,235.71,9,238.81,Consumer,
32592582_c0073,2025-07-02,111.12,6,101.11,SMB,contacted
32592582_c0074,"Dec 30, 2024",35.4,2,40.76,Enterprise,returned
32592582_c0075,2024-09-27,260.76,5,288.47,SMB,returned
32592582_c0076,2024-11-12,200.98,8,72.21,Enterprise,
32592582_c0077,2025-02-19,264.81,7,194.16,SMB,contacted
32592582_c0078,"Aug 30, 2025",150.36,1,104.38,SMB,
32592582_c0079,2025-09-24,137.07,5,240.8,Consumer,contacted
32592582_c0080,2025-04-28,5.35,2,24.4,Consumer,
32592582_c0081,2025-08-23,282.1,8,310.48,Consumer,
32592582_c0082,2025-12-02,102.7,5,197.7,Consumer,returned
32592582_c0083,"Dec 19, 2024",62.97,1,0,Enterprise,
32592582_c0084,2025-08-08,49.63,3,0,Consumer,
32592582_c0085,2024-09-17,231,5,310.67,Consumer,
32592582_c0086,2025-02-01,244.03,10,212.86,SMB,
32592582_c0087,22/11/2024,27.37,3,4.25,Consumer,contacted
32592582_c0088,"Oct 09, 2024",198.66,11,239.92,SMB,
32592582_c0089,2025-10-04,41.81,4,151.94,Enterprise,N/A
32592582_c0090,2025-12-16,250.06,9,277.72,Consumer,no response
32592582_c0091,"Mar 13, 2025",171.04,5,206.67,Consumer,
32592582_c0092,2025-03-06,250.2,6,221.94,SMB,
32592582_c0093,2025-08-31,184.56,4,172.41,Consumer,
32592582_c0094,2025-07-23,275.72,4,204.09,Consumer,contacted
32592582_c0095,2025-03-30,108.26,2,54.37,SMB,
32592582_c0096,2024-12-12,142.43,6,,SMB,no response
32592582_c0097,14/01/2026,65.06,4,30.43,Consumer,
32592582_c0098,"Sep 20, 2025",168.4,4,181.45,Consumer,
32592582_c0099,2026-01-31,3.71,5,0.59,Consumer,contacted
32592582_c0100,30/07/2025,160.43,6,,Consumer,
32592582_c0101,"Jun 24, 2025",96.54,4,61.97,Consumer,N/A
32592582_c0102,2025-11-23,23.86,5,0,SMB,
32592582_c0103,2025-12-06,53.12,6,89.06,SMB,
32592582_c0104,2025-05-24,273.16,3,246.46,Consumer,
32592582_c0105,2024-09-24,299.13,1,252.83,SMB,returned
32592582_c0106,15/01/2026,187.91,5,148.5,Consumer,
32592582_c0107,2025-07-27,35.13,3,0,Enterprise,
32592582_c0108,N/A,33.23,3,22.41,SMB,contacted
32592582_c0109,02/04/2025,269.15,5,243.49,Consumer,
32592582_c0110,2025-05-07,194.99,6,231.48,Consumer,N/A
32592582_c0111,2025-03-31,79.11,2,95.98,SMB,
32592582_c0112,,121.36,5,36.82,Consumer,returned
32592582_c0113,2025-03-03,119.94,6,151.26,Consumer,
32592582_c0114,17/01/2026,30.6,3,23.16,Consumer,contacted
32592582_c0115,10/11/2025,293.67,9,227.63,Enterprise,
32592582_c0116,2025-08-18,275.57,7,179.49,Consumer,
32592582_c0117,N/A,111.1,2,152.25,Enterprise,
32592582_c0118,2025-04-29,75.61,1,98.77,Consumer,
32592582_c0119,2026-01-28,291.43,10,208.41,Consumer,
32592582_c0120,2025-02-03,16.14,5,0,Consumer,N/A
32592582_c0121,2025-05-27,105.27,6,87.98,Consumer,contacted
32592582_c0122,2025-02-24,200.88,6,259.34,SMB,contacted
32592582_c0123,2025-03-27,68.76,3,59.37,Consumer,
32592582_c0124,2025-02-28,131.91,6,,Consumer,
32592582_c0125,2024-09-26,158.01,11,121.6,SMB,
32592582_c0126,2025-11-10,144.68,6,101.37,Consumer,
32592582_c0127,2024-11-23,52.81,3,111.94,SMB,N/A
32592582_c0128,2026-01-21,15.38,6,,Consumer,
32592582_c0129,2025-12-29,188.1,10,98.82,Consumer,
32592582_c0130,,87.7,3,,SMB,returned
32592582_c0131,2024-11-26,284.18,5,240.12,Consumer,
32592582_c0132,2025-01-13,166.53,10,,Consumer,
32592582_c0133,22/12/2025,255.09,8,192.08,Consumer,returned
32592582_c0134,2025-03-27,171.09,3,228.9,SMB,
32592582_c0135,2026-01-23,17.1,7,,Consumer,
32592582_c0136,2025-03-31,122.23,3,36.36,SMB,N/A
32592582_c0137,06/08/2025,239.62,8,202.78,Consumer,
32592582_c0138,2025-11-11,26.37,2,120.45,SMB,returned
32592582_c0139,2025-04-11,297.09,12,192.71,Consumer,no response
32592582_c0140,23/12/2024,25.22,3,0,Consumer,contacted
32592582_c0141,2024-09-12,212.15,3,232,SMB,
32592582_c0142,2025-10-29,261.4,12,,SMB,N/A
32592582_c0143,2025-05-12,66.63,8,165.24,Consumer,returned
32592582_c0144,12/01/2026,241.86,5,189.71,Consumer,
32592582_c0145,2025-07-08,186.2,7,210.57,Consumer,
32592582_c0146,"May 11, 2025",272.58,8,218.87,SMB,
32592582_c0147,2025-04-02,35.05,5,0,Consumer,returned
32592582_c0148,2024-10-13,234.67,8,,Consumer,
32592582_c0149,2025-12-02,255.4,10,,Consumer,returned
32592582_c0150,2025-01-11,65.83,5,,SMB,
